Source,Mean-X,Mean-Y,Mean-Z,Mean-Mag,Variance-X,Variance-Y,Variance-Z,Variance-Mag,Skewness-X,Skewness-Y,Skewness-Z,Skewness-Mag,Kurtosis-X,Kurtosis-Y,Kurtosis-Z,Kurtosis-Mag,RMS-X,RMS-Y,RMS-Z,RMS-Mag,Label
oa_OA13_06-07-2016_10_52_59_stir-mug-3,0.4487000352110894485497788841,0.5343075827268852353006275295,0.48762544137474916117101768,0.851231393707844,0.0023162644883972,0.00396594058415979,0.0044568042581246,0.00639975547130773,0.000000021720839736807,0.000000123821566038195,0.000000200099900844135,0.000000236312389461187,0.0000000000977970994583869,0.00000000120390053504133,0.00000000239327107677545,0.00000000268079973475551,0.451273737422011,0.538006072032284,0.492174131110163,0.85751611936131,0
oa_OA13_06-07-2016_10_52_59_end-stir-3,0.469094867503170023882289573,0.4726017787732334032253703892,0.4973398096433311164174302165,0.831113302909721,0.0020037013826928,0.0027488049190607,0.0039303112495699,0.00519789324943799,0.0000000122014366454121,0.0000000393868485646765,0.000000104288627886582,0.000000112144178638638,0.0000000000340332754910872,0.000000000200956667982466,0.000000000665629107564495,0.00000000069613501210927,0.47122573794362,0.475501047547411,0.501275570425724,0.836320596317482,0
oa_OA13_06-07-2016_10_52_59_select-toast,0.4425239136019881579637133859,0.5322174318018206147917556714,0.4911108830463169323544947411,0.848688817099577,0.000534940789219437,0.0103535495082108,0.00233360112691444,0.0106267513044429,0.000000000278717565323056,0.00000219189557556027,0.0000000228674807593421,0.00000219201487529634,0.0,0.000000050619609838754,0.00000000010371638938071,0.0000000506197160928141,0.443127921596957,0.541856940734302,0.493481003254885,0.856443109432392,1
oa_OA13_06-07-2016_10_52_59_select-knife-for-butter,0.4506633019692718780269897347,0.5178739982305388965835453116,0.4893842218148719613719451166,0.843082324774087,0.000200508072767676,0.00257014373428594,0.00115394825528285,0.00282443602830806,0.0000000000170400758547365,0.0000000350896524824667,0.00000000444376520887446,0.0000000353699173159349,0.0,0.000000000214512027862087,0.0000000000186096772447595,0.000000000215317742382412,0.450885705932906,0.520349518859747,0.490561784912594,0.845406651504952,1
oa_OA13_06-07-2016_10_52_59_scoop-and-spread-butter,0.4502978894326808720052224312,0.5265585133829903944612205419,0.4891205849942309795338221886,0.848098463569373,0.00126088994274308,0.00446644501214352,0.00533149411400727,0.00706850790350457,0.00000000426826086063178,0.000000241250774280507,0.000000362085410882794,0.000000435116075221176,0.0000000000141120305409463,0.0000000044838451103144,0.00000000639743743141578,0.00000000781231539375978,0.451695781660921,0.530782736181433,0.494540636125188,0.854593372884218,0
oa_OA13_06-07-2016_10_52_59_select-jelly,0.4509201595871388476413034203,0.5089990095811314126684707044,0.4924629481531384580745821503,0.83960034384244,0.00184678967796315,0.00117322313534009,0.00739070276250827,0.00770776050248552,0.0000000113147323478099,0.00000000273040531542733,0.000000864063775583297,0.000000864142168023614,0.0000000000415646206141358,0.0000000000057873207234656,0.000000016706072482031,0.0000000167061251906491,0.452963331849338,0.510150188562067,0.499910450046995,0.84577742518712,1
oa_OA13_06-07-2016_10_52_59_move-jelly,0.4715867582959325060142168704,0.5570355592272310617154664989,0.5004526223326297632491475568,0.884949440388131,0.0108659724234365,0.00365592239476935,0.0174187604948101,0.0208530175859278,0.00000268073847456311,0.000000072735023931494,0.00000996315427381677,0.0000103177561628768,0.0000000641004255573948,0.000000000423018556154029,0.000000368892291456146,0.00000037442030687064,0.482970022903599,0.560307537552694,0.517563124357228,0.90281568847483,0
oa_OA13_06-07-2016_10_52_59_open-jelly-jar,0.4342826505419215689050076923,0.515485821990004494011624772,0.486055747239835954838567957,0.831009772902402,0.00587185331933138,0.00746646780229382,0.00370696381274449,0.0101964887856276,0.000000310514284540088,0.000000637115126186819,0.000000088631501434741,0.000000714276100654408,0.00000000294905191847461,0.00000000805869962675163,0.000000000630886242826247,0.00000000860450837314097,0.440991240140944,0.522677817087166,0.489854216310955,0.841203024004118,0
oa_OA13_06-07-2016_10_52_59_scoop-and-spread-jelly,0.4500524942363109141230826455,0.5280488213834385370060781836,0.4899292571030041785152166117,0.849360631474208,0.00211953338832261,0.00539895243143154,0.0054031018788931,0.00792682906683202,0.000000017850930456398,0.000000334548929704958,0.000000310497675623664,0.000000456782714923179,0.0000000000859243732174647,0.00000000487593351914041,0.00000000384120662278996,0.00000000620781596054162,0.45240112837685,0.533136483647359,0.495412735852032,0.856933527175191,0
oa_OA13_06-07-2016_10_52_59_close-jelly-jar,0.4620565183236620662519440257,0.5194910410243035024029492006,0.4903977225841703471227181207,0.850797916162023,0.0137311228904558,0.00505152004769098,0.0069170516947255,0.0161835470392781,0.00000622780614203841,0.000000237047803599808,0.000000706060385248887,0.00000627218321413052,0.000000242233964435068,0.00000000253342737098635,0.0000000132994289498442,0.000000242612008339583,0.47668369912956,0.524330489054571,0.497400219149998,0.865769477851069,0
