Source,Mean-X,Mean-Y,Mean-Z,Mean-Mag,Variance-X,Variance-Y,Variance-Z,Variance-Mag,Skewness-X,Skewness-Y,Skewness-Z,Skewness-Mag,Kurtosis-X,Kurtosis-Y,Kurtosis-Z,Kurtosis-Mag,RMS-X,RMS-Y,RMS-Z,RMS-Mag,Label
ya_YA11_02-08-2016_14:41:43 copy_512,0.4635064800165435117869313228,0.4715983405475747324479229482,0.504883265508836981846644957,0.831955746188113,0.00560706003697384,0.00133952154975237,0.00127805829654913,0.00590481779988664,0.000000236280446282675,0.00000000474795397633322,0.00000000373174182068819,0.000000236357606730813,0.00000000185901218337451,0.0000000000155677221590415,0.00000000000942234386447294,0.00000000185910124320113,0.469516045577039,0.473016401784313,0.506147379808901,0.836884103982561,0
ya_YA11_02-08-2016_14:41:43 copy_534,0.4881395913892806329824110753,0.4271048612181829938647509058,0.4996141849413901506183149845,0.818726545894627,0.00452035117891306,0.00297777730895596,0.00223991957080894,0.00585815433102668,0.000000129532495412526,0.0000000434743943672081,0.000000016829699906013,0.000000137666005725154,0.000000000888176845324848,0.000000000233818734219654,0.0000000000621481418220728,0.000000000920538809923415,0.492748020656204,0.430576752490377,0.501850827801906,0.824652172137578,0
ya_YA11_02-08-2016_14:41:43 copy_556,0.4165865517970463174131832165,0.4534790612219974133821156741,0.4892890201773322143962941115,0.786505791060073,0.0113609735353083,0.00588049141446943,0.00240125380771183,0.0130160638748692,0.00000267883920666841,0.00000034216090482815,0.0000000208343155964603,0.00000270068281156507,0.0000000589744450348807,0.00000000353047544159982,0.000000000080913902520085,0.0000000590800810009222,0.430006196087291,0.459917112511867,0.491736717231697,0.798895536430466,0
ya_YA11_02-08-2016_14:41:43 copy_578,0.4062896474874967680091507705,0.4978738799407936029558671247,0.4853325701061430471698255936,0.805293351263158,0.0116383784493107,0.00307672533834641,0.00347650178788004,0.012530129944184,0.00000274255953110785,0.000000044961443323383,0.0000000655973597537438,0.0000027437123257847,0.0000000579122325802982,0.000000000223372730544889,0.000000000383388367270943,0.0000000579139323863564,0.420368476583134,0.500954215139114,0.488901017992103,0.816510249270752,0
ya_YA11_02-08-2016_14:41:43 copy_600,0.4313011722105722168250997656,0.472248025576227242830383378,0.4858365716294148014484233849,0.803166279884484,0.00374892003358486,0.00451572324456794,0.00512177110888793,0.00778965320996925,0.0000000944321983704911,0.000000152984153434733,0.000000189634094559341,0.000000261309550362337,0.00000000068630919975468,0.00000000119510673521168,0.00000000143730203873365,0.00000000199126532053469,0.435625551573595,0.477005158153675,0.491079367761986,0.811457015208152,0
ya_YA11_02-08-2016_14:41:43 copy_622,0.4304244605027381296540029302,0.4747256564220119691718726692,0.4849546683897717942256716763,0.803623478662375,0.00167254519719557,0.00380278117563452,0.00375571004952711,0.00560034910363105,0.00000000869234699633508,0.0000000951511043883882,0.0000000819730928271233,0.000000125892325065029,0.0000000000311301369577354,0.000000000659452842060212,0.000000000506744925423197,0.000000000832248494003119,0.432362997256089,0.47871414230305,0.488811559235827,0.80934648444271,0
ya_YA11_02-08-2016_14:41:43 copy_644,0.3851968971415274473678403073,0.529561233463971013019101919,0.5135918225129517488443407759,0.832218907323979,0.00469361045021232,0.00396193803951868,0.00340951754208372,0.00702507949827644,0.000000173784517805324,0.000000103051476032239,0.0000000607972249295226,0.000000210990445045227,0.00000000147022774236268,0.000000000724274102740695,0.000000000333143394384271,0.00000000167246139313754,0.391241945626581,0.533288887965426,0.516900452402838,0.839436344066262,0
ya_YA11_02-08-2016_14:41:43 copy_666,0.3787946627457121651843376673,0.5137326402603194149943730798,0.5120553445381139392124959168,0.818295361140171,0.00500930789094801,0.00554379097123349,0.00352505918546154,0.00826152686493549,0.000000199846723706538,0.000000265953592637717,0.0000000638787309015877,0.000000338748459295011,0.00000000168011541444845,0.00000000242073530880223,0.000000000341501135948404,0.00000000296637325146435,0.385350106287238,0.519100199036826,0.515485921297088,0.82685274149099,0
ya_YA11_02-08-2016_14:41:43 copy_688,0.4589878126360749376152746045,0.4954938547739644310350462857,0.4738609525067148964241796266,0.825062527677619,0.00859002280034396,0.00700500199453394,0.00235234511455126,0.0113310225572014,0.00000114112696678363,0.00000054296857297241,0.0000000214404504739034,0.00000126390083411359,0.0000000197635864373295,0.00000000678392124360897,0.0000000000935819536827364,0.0000000208956860114077,0.468251892627027,0.502512847709684,0.476336590474763,0.835868138217513,0
ya_YA11_02-08-2016_14:41:43 copy_710,0.4395915043181456110861806492,0.5310518705600531979143940561,0.4910425059758041661626459643,0.846392061971885,0.0110778510738777,0.00683967774848706,0.00330504291201208,0.013432173493832,0.00000231743271708912,0.000000480558915291823,0.0000000578116360146805,0.00000236744027476095,0.0000000485094317597051,0.0000000050827817745637,0.000000000340686420743622,0.0000000487761797136123,0.452016085712188,0.537453036993762,0.494396385086916,0.85883764141041,0
