Random Forest Predictions
Source,Prediction
ya_YA12_02-10-2016_14:25:05_503,1
ya_YA12_02-10-2016_14:25:05_525,1
ya_YA12_02-10-2016_14:25:05_547,1
ya_YA12_02-10-2016_14:25:05_591,1
ya_YA12_02-10-2016_14:25:05_613,1
ya_YA12_02-10-2016_14:25:05_635,1
ya_YA12_02-10-2016_14:25:05_657,0
ya_YA12_02-10-2016_14:25:05_679,0
ya_YA12_02-10-2016_14:25:05_701,1
ya_YA12_02-10-2016_14:25:05_723,1
ya_YA12_02-10-2016_14:25:05_745,0
ya_YA12_02-10-2016_14:25:05_767,1
ya_YA12_02-10-2016_14:25:05_789,1
ya_YA12_02-10-2016_14:25:05_811,0
ya_YA12_02-10-2016_14:25:05_833,0
ya_YA12_02-10-2016_14:25:05_855,1
ya_YA12_02-10-2016_14:25:05_877,1
ya_YA12_02-10-2016_14:25:05_899,1
ya_YA12_02-10-2016_14:25:05_921,1
ya_YA12_02-10-2016_14:25:05_943,1
ya_YA12_02-10-2016_14:25:05_965,1
ya_YA12_02-10-2016_14:25:05_987,1
ya_YA12_02-10-2016_14:25:05_1009,1
ya_YA12_02-10-2016_14:25:05_1031,1
ya_YA12_02-10-2016_14:25:05_1053,1
ya_YA12_02-10-2016_14:25:05_1075,1
ya_YA12_02-10-2016_14:25:05_1097,1
ya_YA12_02-10-2016_14:25:05_1119,0
ya_YA12_02-10-2016_14:25:05_1141,0
ya_YA12_02-10-2016_14:25:05_1163,1
ya_YA12_02-10-2016_14:25:05_1185,1
ya_YA12_02-10-2016_14:25:05_1207,0
ya_YA12_02-10-2016_14:25:05_1229,1
ya_YA12_02-10-2016_14:25:05_1251,1
ya_YA12_02-10-2016_14:25:05_1273,1
ya_YA12_02-10-2016_14:25:05_1295,1
ya_YA12_02-10-2016_14:25:05_1317,1
ya_YA12_02-10-2016_14:25:05_1339,1
ya_YA12_02-10-2016_14:25:05_1361,1
ya_YA12_02-10-2016_14:25:05_1383,1
ya_YA12_02-10-2016_14:25:05_1405,1
ya_YA12_02-10-2016_14:25:05_1427,1
ya_YA12_02-10-2016_14:25:05_1449,1
ya_YA12_02-10-2016_14:25:05_1471,1
ya_YA12_02-10-2016_14:25:05_1493,0
ya_YA12_02-10-2016_14:25:05_1515,1
ya_YA12_02-10-2016_14:25:05_1537,0
ya_YA12_02-10-2016_14:25:05_1559,0
ya_YA12_02-10-2016_14:25:05_1581,1
ya_YA12_02-10-2016_14:25:05_1603,1
ya_YA12_02-10-2016_14:25:05_1625,1
ya_YA12_02-10-2016_14:25:05_1647,0
ya_YA12_02-10-2016_14:25:05_1669,0
ya_YA12_02-10-2016_14:25:05_1691,1
ya_YA12_02-10-2016_14:25:05_1713,1
ya_YA12_02-10-2016_14:25:05_1735,1
ya_YA12_02-10-2016_14:25:05_1757,0
ya_YA12_02-10-2016_14:25:05_1779,0
ya_YA12_02-10-2016_14:25:05_1801,1
ya_YA12_02-10-2016_14:25:05_1825,1
ya_YA12_02-10-2016_14:25:05_1847,0
ya_YA12_02-10-2016_14:25:05_1869,0
ya_YA12_02-10-2016_14:25:05_1913,1
ya_YA12_02-10-2016_14:25:05_1935,1
ya_YA12_02-10-2016_14:25:05_1957,1
ya_YA12_02-10-2016_14:25:05_1979,1
ya_YA12_02-10-2016_14:25:05_2001,1
ya_YA12_02-10-2016_14:25:05_2023,1
ya_YA12_02-10-2016_14:25:05_2045,1
ya_YA12_02-10-2016_14:25:05_2067,1
ya_YA12_02-10-2016_14:25:05_2089,0
ya_YA12_02-10-2016_14:25:05_2111,0
ya_YA12_02-10-2016_14:25:05_2133,1
ya_YA12_02-10-2016_14:25:05_2243,0
ya_YA12_02-10-2016_14:25:05_2265,1
ya_YA12_02-10-2016_14:25:05_2287,1
ya_YA12_02-10-2016_14:25:05_2309,1
ya_YA12_02-10-2016_14:25:05_2331,0
ya_YA12_02-10-2016_14:25:05_2353,1
ya_YA12_02-10-2016_14:25:05_2375,1
ya_YA12_02-10-2016_14:25:05_2397,1
ya_YA12_02-10-2016_14:25:05_2419,0
ya_YA12_02-10-2016_14:25:05_2441,0
ya_YA12_02-10-2016_14:25:05_2463,0
ya_YA12_02-10-2016_14:25:05_2485,1
ya_YA12_02-10-2016_14:25:05_2507,1
ya_YA12_02-10-2016_14:25:05_2529,1
ya_YA12_02-10-2016_14:25:05_2551,1
ya_YA12_02-10-2016_14:25:05_2573,0
ya_YA12_02-10-2016_14:25:05_2595,1
ya_YA12_02-10-2016_14:25:05_2617,0
ya_YA12_02-10-2016_14:25:05_2639,0
ya_YA12_02-10-2016_14:25:05_2683,1
ya_YA12_02-10-2016_14:25:05_2705,0
ya_YA12_02-10-2016_14:25:05_2727,1
ya_YA12_02-10-2016_14:25:05_2749,1
ya_YA12_02-10-2016_14:25:05_2773,0
ya_YA12_02-10-2016_14:25:05_2795,1
ya_YA12_02-10-2016_14:25:05_2817,1
ya_YA12_02-10-2016_14:25:05_2839,0
ya_YA12_02-10-2016_14:25:05_2861,0
ya_YA12_02-10-2016_14:25:05_2883,1
ya_YA12_02-10-2016_14:25:05_2905,1
ya_YA12_02-10-2016_14:25:05_2927,1
ya_YA12_02-10-2016_14:25:05_2949,1
ya_YA12_02-10-2016_14:25:05_2971,1
ya_YA12_02-10-2016_14:25:05_2993,1
ya_YA12_02-10-2016_14:25:05_3015,1
ya_YA12_02-10-2016_14:25:05_3037,1
ya_YA12_02-10-2016_14:25:05_3059,1
ya_YA12_02-10-2016_14:25:05_3081,1
ya_YA12_02-10-2016_14:25:05_3103,1
ya_YA12_02-10-2016_14:25:05_3125,1
ya_YA12_02-10-2016_14:25:05_3147,1
ya_YA12_02-10-2016_14:25:05_3169,1
ya_YA12_02-10-2016_14:25:05_3191,1
ya_YA13_02-12-2016_10:20:17_56,1
ya_YA13_02-12-2016_10:20:17_78,1
ya_YA13_02-12-2016_10:20:17_166,0
ya_YA13_02-12-2016_10:20:17_188,0
ya_YA13_02-12-2016_10:20:17_210,0
ya_YA13_02-12-2016_10:20:17_232,0
ya_YA13_02-12-2016_10:20:17_254,0
ya_YA13_02-12-2016_10:20:17_276,0
